tier,area,repo_path_or_url,title,date,words,proposed_page,publishability,why_it_matters
0,THE NAMING BRIEF,team/humans/dinis_cruz/briefs/04/30/v0.27.2__brief__ephemeral-compute-naming-taxonomy.md,"Ephemeral Compute: Naming, Taxonomy, and Platform Architecture",2026-04-30,1434,/rename/,clean,"THE SINGLE MOST IMPORTANT DOCUMENT. Defines Node/Pod/Spec/Stack, maps old->new, specifies the CLI/API/folder shape, and closes with NINE NUMBERED ACCEPTANCE CRITERIA (scored in 02__). Also the recursion idea and 'the simulated AWS Marketplace'."
0,THE HEADLINE STRATEGY,team/humans/dinis_cruz/briefs/05/16/v0.27.45__strategy-brief__sg-compute-as-serverless-environment (1).md,SG/Compute As A Serverless Environment: The Synthesis Is Close,2026-05-16,3885,/why/,clean,"THE PLATFORM THESIS. 12-piece synthesis, 13-row Lambda comparison, the cold-start ladder, the full request-path walkthrough. 'We are competing for the agent-deployment market.' NOTE the literal ' (1)' in the filename."
0,the 50-second number,team/humans/dinis_cruz/briefs/05/16/v0.27.45__dev-brief__on-demand-vault-provisioning-workflows.md,"On-Demand Vault Provisioning: Workflows, DNS Pinning, And Ephemeral Addressing",2026-05-16,3105,/why/,clean,'The 50-second end-to-end provisioning is the number that matters most.' And the framing: 'click and you have a dedicated environment (where 50s is a fair trade for the isolation).'
0,the spec standard,team/humans/dinis_cruz/briefs/04/30/v0.27.2__brief__spec-standard-external-repos.md,Spec Standard: External Repos and the sg-compute_spec Convention,2026-04-30,880,/specs/,clean,"THE THIRD-PARTY SPEC STORY behind the PEP 621 entry-point discovery in Spec__Loader. Architecturally supported, untested in the wild - publish as an invitation."
0,spec internal structure,team/humans/dinis_cruz/briefs/04/30/v0.27.2__arch-brief__spec-internal-structure-api-cli.md,Spec Internal Structure: Every Spec Gets Its Own API and CLI,2026-04-30,1161,/specs/,clean,"'Every Spec Gets Its Own API and CLI' - the principle that Spec__Routes__Loader and Spec__CLI__Builder implement. The generalisation mechanism, specified before it was built."
0,warm pools,team/humans/dinis_cruz/briefs/05/14/v0.27.41__dev-brief__ephemeral-ec2-boot-optimisation-warm-pools.md,Ephemeral EC2 Boot Optimisation and Warm Pools,2026-05-14,1731,/shipped/,NOT IMPLEMENTED,THE ONLY PLACE WARM-POOL ECONOMICS ARE WORKED - 'A pool of 3-5 t3.small instances at ~$0.02/hour each is roughly $1-3/day.' ZERO IMPLEMENTATION IN THE CODE. Central to the serverless pitch.
0,container hosts primitive,team/humans/dinis_cruz/briefs/05/15/v0.27.43__dev-brief__sg-compute-container-hosts-primitive.md,SG/Compute Container Hosts: Containers On Our Own EC2 Nodes,2026-05-15,2217,/what-it-is/,clean,Containers on our own EC2 nodes - the warm-pool placement flow and the pod model. The basis for the sidecar architecture.
0,cost per unit,team/humans/dinis_cruz/briefs/05/14/v0.27.41__arch-brief__vault-collections-and-containerised-hosts.md,Vault Collections and Containerised Vault Hosts,2026-05-14,2435,/numbers/,LABEL AS ESTIMATE,"THE COST-PER-UNIT TABLE: '$0.005-0.10+ per hour | Effectively free for short bursts'. Brief-level estimate, NOT a measurement. Label it."
0,THE CODE,.,.,2026-07-24,0,/what-it-is/,REDACT,"github.com/the-cyber-boardroom/SGraph-AI__Service__Playwright. 3,999 py files, 217,266 LOC, 7,110 tests, 2,777 commits, 245 tags, 16 Apr - 24 Jul 2026. See 07__ for the redaction list before quoting any path or hostname."
1,nitro enclaves,team/humans/dinis_cruz/briefs/05/15/v0.27.43__strategy-brief__nitro-enclaves-in-sg-ecosystem-zero-knowledge-extension.md,Nitro Enclaves In The SG Ecosystem: Extending Zero-Knowledge Into New Use Cases,2026-05-15,3480,/why/enclaves/,clean,"THE BEST CUSTOMER SENTENCE IN THE CORPUS: 'We cannot see your code, even though it ran on our infrastructure.' The zero-knowledge argument extended to compute - what distinguishes this from a generic runner."
